2026-02-26T14:44:27Z watchdog: log file missing, no action
2026-02-26T14:45:07Z watchdog: healthy (age=0m), no action
2026-02-26T14:50:01Z watchdog: healthy (age=1m), no action
2026-02-26T14:55:01Z watchdog: healthy (age=6m), no action
2026-02-26T15:00:01Z watchdog: healthy (age=11m), no action
2026-02-26T15:05:02Z watchdog: healthy (age=16m), no action
2026-02-26T15:25:01Z watchdog: healthy (age=0m), no action
2026-02-26T15:30:01Z watchdog: healthy (age=4m), no action
2026-02-26T15:35:01Z watchdog: healthy (age=9m), no action
2026-02-26T15:40:01Z watchdog: healthy (age=14m), no action
2026-02-26T15:45:01Z watchdog: healthy (age=19m), no action
2026-02-26T15:50:01Z watchdog: stalled (age=24m), scheduled restart 1/10
2026-02-26T15:55:01Z watchdog: stalled (age=29m) but last kick too recent, no action
2026-02-26T16:00:01Z watchdog: stalled (age=34m) but last kick too recent, no action
2026-02-26T16:05:01Z watchdog: stalled (age=39m), scheduled restart 2/10
2026-02-26T16:10:01Z watchdog: stalled (age=44m) but last kick too recent, no action
2026-02-26T16:15:02Z watchdog: stalled (age=49m) but last kick too recent, no action
2026-02-26T16:20:01Z watchdog: stalled (age=54m), scheduled restart 3/10
2026-02-26T16:25:02Z watchdog: stalled (age=59m) but last kick too recent, no action
2026-02-26T16:30:01Z watchdog: stalled (age=64m) but last kick too recent, no action
2026-02-26T16:35:02Z watchdog: stalled (age=69m), scheduled restart 4/10
2026-02-26T16:40:01Z watchdog: stalled (age=74m) but last kick too recent, no action
2026-02-26T16:45:01Z watchdog: stalled (age=79m) but last kick too recent, no action
2026-02-26T16:50:01Z watchdog: healthy (age=0m), no action
2026-02-26T16:55:01Z watchdog: healthy (age=2m), no action
2026-02-26T17:00:01Z watchdog: healthy (age=7m), no action
2026-02-26T17:05:01Z watchdog: healthy (age=12m), no action
2026-02-26T17:10:01Z watchdog: healthy (age=17m), no action
2026-02-26T17:15:01Z watchdog: healthy (age=0m), no action
2026-02-26T17:20:01Z watchdog: healthy (age=2m), no action
2026-02-26T17:25:01Z watchdog: healthy (age=2m), no action
2026-02-26T17:30:01Z watchdog: healthy (age=3m), no action
2026-02-26T17:35:01Z watchdog: healthy (age=8m), no action
2026-02-26T17:45:01Z watchdog: healthy (age=0m), no action
2026-02-26T18:00:01Z watchdog: healthy (age=1m), no action
2026-02-26T18:05:01Z watchdog: healthy (age=0m), no action
2026-02-26T18:15:02Z watchdog: healthy (age=0m), no action
2026-02-26T18:25:01Z watchdog: healthy (age=0m), no action
2026-02-26T18:30:01Z watchdog: healthy (age=1m), no action
2026-02-26T18:35:01Z watchdog: healthy (age=1m), no action
2026-02-26T18:45:02Z watchdog: healthy (age=1m), no action
2026-02-26T18:50:01Z watchdog: healthy (age=0m), no action
2026-02-26T19:00:01Z watchdog: healthy (age=0m), no action
2026-02-26T19:15:02Z watchdog: healthy (age=1m), no action
2026-02-26T19:20:01Z watchdog: healthy (age=0m), no action
2026-02-26T19:30:02Z watchdog: healthy (age=0m), no action
2026-02-26T19:45:01Z watchdog: healthy (age=1m), no action
2026-02-26T19:55:01Z watchdog: healthy (age=1m), no action
2026-02-26T20:00:01Z watchdog: healthy (age=0m), no action
2026-02-26T20:10:01Z watchdog: healthy (age=2m), no action
2026-02-26T20:20:01Z watchdog: healthy (age=1m), no action
2026-02-26T20:25:01Z watchdog: healthy (age=0m), no action
2026-02-26T20:30:01Z watchdog: healthy (age=1m), no action
2026-02-26T20:40:01Z watchdog: healthy (age=0m), no action
2026-02-26T20:50:02Z watchdog: healthy (age=0m), no action
2026-02-26T21:00:01Z watchdog: healthy (age=1m), no action
2026-02-26T21:05:01Z watchdog: healthy (age=0m), no action
2026-02-26T21:10:01Z watchdog: healthy (age=1m), no action
2026-02-26T21:15:01Z watchdog: healthy (age=1m), no action
2026-02-26T21:25:01Z watchdog: healthy (age=1m), no action
2026-02-26T21:30:01Z watchdog: healthy (age=0m), no action
2026-02-26T21:40:01Z watchdog: healthy (age=1m), no action
2026-02-26T21:45:01Z watchdog: healthy (age=0m), no action
2026-02-26T21:50:01Z watchdog: healthy (age=1m), no action
2026-02-26T21:55:01Z watchdog: healthy (age=2m), no action
2026-02-26T22:00:01Z watchdog: healthy (age=0m), no action
2026-02-26T22:20:01Z watchdog: healthy (age=1m), no action
2026-02-26T22:25:01Z watchdog: healthy (age=0m), no action
2026-02-26T22:35:01Z watchdog: healthy (age=2m), no action
2026-02-26T22:45:01Z watchdog: healthy (age=1m), no action
2026-02-26T22:55:01Z watchdog: healthy (age=1m), no action
2026-02-26T23:00:01Z watchdog: healthy (age=1m), no action
2026-02-26T23:15:01Z watchdog: healthy (age=2m), no action
2026-02-26T23:25:01Z watchdog: healthy (age=1m), no action
2026-02-26T23:30:01Z watchdog: healthy (age=0m), no action
2026-02-26T23:40:01Z watchdog: healthy (age=1m), no action
2026-02-26T23:45:01Z watchdog: healthy (age=0m), no action
2026-02-26T23:55:01Z watchdog: healthy (age=0m), no action
2026-02-27T00:00:01Z watchdog: healthy (age=1m), no action
2026-02-27T00:05:01Z watchdog: healthy (age=0m), no action
2026-02-27T00:25:01Z watchdog: healthy (age=0m), no action
2026-02-27T00:30:01Z watchdog: healthy (age=1m), no action
2026-02-27T00:40:01Z watchdog: healthy (age=1m), no action
2026-02-27T00:45:01Z watchdog: healthy (age=0m), no action
2026-02-27T00:50:01Z watchdog: healthy (age=1m), no action
2026-02-27T00:55:01Z watchdog: healthy (age=0m), no action
2026-02-27T01:10:01Z watchdog: healthy (age=1m), no action
2026-02-27T01:15:01Z watchdog: healthy (age=0m), no action
2026-02-27T01:20:01Z watchdog: healthy (age=1m), no action
2026-02-27T01:35:01Z watchdog: healthy (age=0m), no action
2026-02-27T01:40:02Z watchdog: healthy (age=1m), no action
2026-02-27T01:45:01Z watchdog: healthy (age=0m), no action
2026-02-27T01:50:01Z watchdog: healthy (age=1m), no action
2026-02-27T02:00:01Z watchdog: healthy (age=1m), no action
2026-02-27T02:05:01Z watchdog: healthy (age=0m), no action
2026-02-27T02:10:02Z watchdog: healthy (age=1m), no action
2026-02-27T02:15:01Z watchdog: healthy (age=0m), no action
2026-02-27T02:25:01Z watchdog: healthy (age=0m), no action
2026-02-27T02:30:01Z watchdog: healthy (age=1m), no action
2026-02-27T02:35:01Z watchdog: healthy (age=0m), no action
2026-02-27T02:45:01Z watchdog: healthy (age=0m), no action
2026-02-27T03:05:01Z watchdog: healthy (age=6m), no action
2026-02-27T03:10:01Z watchdog: healthy (age=11m), no action
2026-02-27T03:20:01Z watchdog: stalled (age=21m), scheduled restart 5/10
2026-02-27T03:25:02Z watchdog: stalled (age=26m) but last kick too recent, no action
2026-02-27T03:30:01Z watchdog: stalled (age=31m) but last kick too recent, no action
2026-02-27T03:35:01Z watchdog: stalled (age=36m), scheduled restart 6/10
2026-02-27T03:55:02Z watchdog: stalled (age=56m), scheduled restart 7/10
2026-02-27T04:15:02Z watchdog: stalled (age=76m), scheduled restart 8/10
2026-02-27T04:30:01Z watchdog: stalled (age=91m), scheduled restart 9/10
2026-02-27T04:40:01Z watchdog: stalled (age=101m) but last kick too recent, no action
2026-02-27T04:45:01Z watchdog: stalled (age=106m), scheduled restart 10/10
2026-02-27T04:50:01Z watchdog: stalled (age=111m) but max restarts reached (10), no action
2026-02-27T04:55:01Z watchdog: stalled (age=116m) but max restarts reached (10), no action
2026-02-27T05:00:01Z watchdog: stalled (age=121m) but max restarts reached (10), no action
2026-02-27T05:05:01Z watchdog: stalled (age=126m) but max restarts reached (10), no action
2026-02-27T05:15:01Z watchdog: stalled (age=136m) but max restarts reached (10), no action
2026-02-27T05:25:01Z watchdog: stalled (age=146m) but max restarts reached (10), no action
2026-02-27T05:30:01Z watchdog: stalled (age=151m) but max restarts reached (10), no action
2026-02-27T05:40:01Z watchdog: stalled (age=161m) but max restarts reached (10), no action
2026-02-27T05:45:01Z watchdog: stalled (age=166m) but max restarts reached (10), no action
2026-02-27T05:50:01Z watchdog: stalled (age=171m) but max restarts reached (10), no action
2026-02-27T06:00:01Z watchdog: stalled (age=181m) but max restarts reached (10), no action
2026-02-27T06:15:01Z watchdog: stalled (age=196m) but max restarts reached (10), no action
2026-02-27T06:25:01Z watchdog: stalled (age=206m) but max restarts reached (10), no action
2026-02-27T06:30:02Z watchdog: stalled (age=211m) but max restarts reached (10), no action
2026-02-27T06:35:01Z watchdog: stalled (age=216m) but max restarts reached (10), no action
2026-02-27T06:40:01Z watchdog: stalled (age=221m) but max restarts reached (10), no action
2026-02-27T06:45:01Z watchdog: stalled (age=226m) but max restarts reached (10), no action
2026-02-27T06:50:01Z watchdog: stalled (age=231m) but max restarts reached (10), no action
2026-02-27T07:00:02Z watchdog: stalled (age=241m) but max restarts reached (10), no action
2026-02-27T07:05:01Z watchdog: stalled (age=246m) but max restarts reached (10), no action
2026-02-27T07:10:01Z watchdog: stalled (age=251m) but max restarts reached (10), no action
2026-02-27T07:15:01Z watchdog: stalled (age=256m) but max restarts reached (10), no action
2026-02-27T07:20:01Z watchdog: stalled (age=261m) but max restarts reached (10), no action
2026-02-27T07:25:01Z watchdog: stalled (age=266m) but max restarts reached (10), no action
2026-02-27T07:40:01Z watchdog: stalled (age=281m) but max restarts reached (10), no action
2026-02-27T07:45:01Z watchdog: stalled (age=286m) but max restarts reached (10), no action
2026-02-27T07:50:01Z watchdog: stalled (age=291m) but max restarts reached (10), no action
2026-02-27T07:55:01Z watchdog: stalled (age=296m) but max restarts reached (10), no action
2026-02-27T08:05:01Z watchdog: stalled (age=306m) but max restarts reached (10), no action
2026-02-27T08:10:02Z watchdog: stalled (age=311m) but max restarts reached (10), no action
2026-02-27T08:25:01Z watchdog: stalled (age=326m) but max restarts reached (10), no action
2026-02-27T08:30:01Z watchdog: stalled (age=331m) but max restarts reached (10), no action
2026-02-27T08:40:01Z watchdog: stalled (age=341m) but max restarts reached (10), no action
2026-02-27T08:45:01Z watchdog: stalled (age=346m) but max restarts reached (10), no action
2026-02-27T08:50:01Z watchdog: stalled (age=351m) but max restarts reached (10), no action
2026-02-27T08:55:01Z watchdog: stalled (age=356m) but max restarts reached (10), no action
2026-02-27T09:00:01Z watchdog: stalled (age=361m) but max restarts reached (10), no action
2026-02-27T09:05:01Z watchdog: stalled (age=366m) but max restarts reached (10), no action
2026-02-27T09:10:01Z watchdog: stalled (age=371m) but max restarts reached (10), no action
2026-02-27T09:25:01Z watchdog: stalled (age=386m) but max restarts reached (10), no action
2026-02-27T09:35:01Z watchdog: stalled (age=396m) but max restarts reached (10), no action
2026-02-27T09:40:01Z watchdog: stalled (age=401m) but max restarts reached (10), no action
2026-02-27T09:45:01Z watchdog: stalled (age=406m) but max restarts reached (10), no action
2026-02-27T09:55:01Z watchdog: stalled (age=416m) but max restarts reached (10), no action
2026-02-27T10:10:01Z watchdog: stalled (age=431m) but max restarts reached (10), no action
2026-02-27T10:25:01Z watchdog: stalled (age=446m) but max restarts reached (10), no action
2026-02-27T10:45:01Z watchdog: stalled (age=466m) but max restarts reached (10), no action
2026-02-27T10:50:01Z watchdog: stalled (age=471m) but max restarts reached (10), no action
2026-02-27T11:05:01Z watchdog: stalled (age=486m) but max restarts reached (10), no action
2026-02-27T11:20:01Z watchdog: stalled (age=501m) but max restarts reached (10), no action
2026-02-27T11:45:01Z watchdog: stalled (age=526m) but max restarts reached (10), no action
2026-02-27T11:50:01Z watchdog: stalled (age=531m) but max restarts reached (10), no action
2026-02-27T11:55:01Z watchdog: stalled (age=536m) but max restarts reached (10), no action
2026-02-27T12:05:01Z watchdog: stalled (age=546m) but max restarts reached (10), no action
2026-02-27T12:10:01Z watchdog: stalled (age=551m) but max restarts reached (10), no action
2026-02-27T12:15:01Z watchdog: stalled (age=556m) but max restarts reached (10), no action
2026-02-27T12:20:01Z watchdog: stalled (age=561m) but max restarts reached (10), no action
2026-02-27T12:30:01Z watchdog: stalled (age=571m) but max restarts reached (10), no action
2026-02-27T12:35:01Z watchdog: stalled (age=576m) but max restarts reached (10), no action
2026-02-27T12:40:01Z watchdog: stalled (age=581m) but max restarts reached (10), no action
